Phenotype description	Gene name
CaP motoneuron disorganized	mfn2
RoP motor neuron decreased length	mfn2
RoP motor neuron immature	mfn2
T cell decreased amount	mfn2
axon extension disrupted	mfn2
axon guidance occurs_in peripheral neuron process quality	mfn2
axon part_of motor neuron absent	mfn2
axon part_of motor neuron branchiness	mfn2
axon part_of motor neuron truncated	mfn2
axon part_of peripheral neuron branchiness	mfn2
axon part_of peripheral neuron morphology	mfn2
axon part_of peripheral neuron shape	mfn2
axonal transport of mitochondrion decreased occurrence	mfn2
blood island has fewer parts of type	mfn2
brain edematous	mfn2
eye decreased size	mfn2
head decreased size	mfn2
head necrotic	mfn2
mandibular arch skeleton morphology	mfn2
mitochondrion localization occurs_in neuron decreased process quality	mfn2
mitochondrion part_of neuron circular	mfn2
mitochondrion part_of neuron mislocalised	mfn2
myofibril part_of skeletal muscle cell decreased thickness	mfn2
myofibril part_of skeletal muscle cell disorganized	mfn2
neuromuscular junction development decreased process quality	mfn2
neuromuscular junction development disrupted	mfn2
neuromuscular junction part_of muscle cell decreased area	mfn2
post-vent region increased curvature	mfn2
presynaptic active zone part_of motor neuron decreased area	mfn2
sensory perception of touch disrupted	mfn2
skeletal muscle acetylcholine-gated channel clustering disrupted	mfn2
somite U-shaped	mfn2
somite decreased thickness	mfn2
somite irregular spatial pattern	mfn2
swimming decreased occurrence	mfn2
thrombocyte decreased amount	mfn2
trunk edematous	mfn2
whole organism decreased length	mfn2
whole organism decreased life span	mfn2
whole organism decreased weight	mfn2
whole organism movement behavioral quality	mfn2
yolk distended	mfn2
Meckel's cartilage decreased size	wdr11
cartilage development occurs_in head disrupted	wdr11
ceratobranchial cartilage mislocalised	wdr11
ceratohyal cartilage mislocalised	wdr11
cilium assembly occurs_in pronephric duct disrupted	wdr11
cranial skeletal system development process quality	wdr11
cranium decreased amount	wdr11
cranium decreased size	wdr11
eye decreased size	wdr11
head decreased amount	wdr11
melanocyte migration disrupted	wdr11
motile cilium part_of olfactory pit absent	wdr11
motile cilium part_of olfactory pit decreased amount	wdr11
myotome development disrupted	wdr11
myotome decreased amount	wdr11
neural crest cell fate specification occurs_in olfactory bulb disrupted	wdr11
neural crest cell migration disrupted	wdr11
olfactory bulb spatial pattern	wdr11
olfactory placode absent	wdr11
palatoquadrate cartilage decreased size	wdr11
skeletal muscle refractivity	wdr11
	ndufa9a
	HTRA2
aggressive behavior increased occurrence	dnmt3aa
citrate synthase activity occurs_in whole organism process quality	dnmt3aa
exploration behavior occurs_in whole organism decreased occurrence	dnmt3aa
noradrenaline part_of whole organism increased amount	dnmt3aa
reactive oxygen species part_of whole organism increased amount	dnmt3aa
short-term memory decreased duration	dnmt3aa
swimming behavior occurs_in whole organism process quality	dnmt3aa
swimming occurs_in whole organism increased linear velocity	dnmt3aa
swimming occurs_in whole organism increased rate	dnmt3aa
whole organism angular velocity	dnmt3aa
desmosome part_of heart disorganized	dspa
desmosome part_of integument disorganized	dspa
developmental growth delayed	dspa
heart contraction decreased rate	dspa
heart decreased amount	dspa
whole organism decreased amount	dspa
whole organism increased amount	dspa
	rab3gap2
Meckel's cartilage decreased size	col11a2
Meckel's cartilage malformed	col11a2
Meckel's cartilage mislocalised	col11a2
Meckel's cartilage-palatoquadrate cartilage joint decreased amount	col11a2
Meckel's cartilage-palatoquadrate cartilage joint decreased size	col11a2
Meckel's cartilage-palatoquadrate cartilage joint morphology	col11a2
Meckel's cartilage-palatoquadrate cartilage joint movement quality	col11a2
ceratobranchial 5 bone composition	col11a2
ceratobranchial cartilage decreased size	col11a2
ceratohyal cartilage malformed	col11a2
ceratohyal cartilage mislocalised	col11a2
chondrocyte differentiation delayed	col11a2
chondrocyte disorganized	col11a2
chondrocyte part_of Meckel's cartilage circular	col11a2
chondrocyte part_of Meckel's cartilage hypertrophic	col11a2
chondrocyte part_of Meckel's cartilage morphology	col11a2
chondrocyte part_of mandibular arch skeleton immature	col11a2
collagen trimer part_of Meckel's cartilage-palatoquadrate cartilage joint increased thickness	col11a2
collagen trimer part_of Meckel's cartilage-palatoquadrate cartilage joint irregular spatial pattern	col11a2
cranial cartilage disorganized	col11a2
endochondral ossification disrupted	col11a2
ethmoid cartilage decreased size	col11a2
eye mislocalised	col11a2
head decreased size	col11a2
head malformed	col11a2
interopercular-mandibular ligament mislocalised	col11a2
mandibular arch skeleton inflexible	col11a2
mandibular arch skeleton morphology	col11a2
mandibular arch skeleton movement quality	col11a2
mandibular arch skeleton protruding	col11a2
mouth absent	col11a2
mouth movement quality	col11a2
neurocranial trabecula decreased size	col11a2
neurocranial trabecula malformed	col11a2
notochord undulate	col11a2
olfactory region hypoplastic	col11a2
opercle inflexible	col11a2
perichordal connective tissue morphology	col11a2
pharyngeal arch cartilage disorganized	col11a2
pharyngeal arch aplastic	col11a2
ventral mandibular arch decreased amount	col11a2
ventral mandibular arch decreased length	col11a2
ventral mandibular arch increased width	col11a2
ventral mandibular arch morphology	col11a2
	yme1l1a
	sin3ab
B cell activation arrested	prkdc
B cell part_of head kidney decreased amount	prkdc
T cell activation arrested	prkdc
T cell receptor V(D)J recombination arrested	prkdc
developmental growth decreased process quality	prkdc
immune response decreased process quality	prkdc
immunoglobulin heavy chain V-D-J recombination arrested	prkdc
kidney absent	prkdc
kidney decreased mass density	prkdc
kidney decreased thickness	prkdc
lymphocyte decreased amount	prkdc
monocyte increased amount	prkdc
neutrophil increased amount	prkdc
spleen absent	prkdc
spleen decreased size	prkdc
thymus development decreased process quality	prkdc
thymus decreased amount	prkdc
whole organism decreased length	prkdc
	pign
	ndufs3
CiD increased amount	lfng
VeLD increased amount	lfng
facial nerve motor nucleus increased amount	lfng
interneuron part_of hindbrain increased amount	lfng
trigeminal motor nucleus increased amount	lfng
vagal lobe increased amount	lfng
	cdc45
apoptotic process increased occurrence	hax1
leukocyte decreased amount	hax1
monocyte part_of trunk decreased amount	hax1
myeloid leukocyte part_of trunk decreased amount	hax1
neutrophil decreased amount	hax1
neutrophil part_of trunk decreased amount	hax1
	prkg3
pro-T cell decreased amount	arpc1b
thromboblast part_of caudal hematopoietic tissue decreased amount	arpc1b
thrombocyte decreased amount	arpc1b
	gbe1b
actin filament polymerization decreased occurrence	actc1a
blood circulation disrupted	actc1a
cardiac ventricle dilated	actc1a
endocardial cushion formation disrupted	actc1a
endocardial cushion agenesis	actc1a
filamentous actin part_of heart decreased amount	actc1a
heart contraction disrupted	actc1a
heart dilated	actc1a
heart distended	actc1a
heart elongated	actc1a
heart increased contractility	actc1a
heart quality	actc1a
myofibril part_of heart disorganized	actc1a
myofibril part_of myocardium decreased length	actc1a
myofibril part_of myocardium structure	actc1a
pericardium edematous	actc1a
caudal fin morphology	aars1
eye decreased size	aars1
motor neuron spatial pattern	aars1
whole organism curved	aars1
whole organism decreased length	aars1
whole organism morphology	aars1
	erlin2
	mrps7
axon part_of motor neuron decreased branchiness	sqstm1
axon part_of motor neuron decreased length	sqstm1
larval locomotory behavior process quality	sqstm1
swimming behavior process quality	sqstm1
thigmotaxis disrupted	sqstm1
whole organism decreased amount	sqstm1
whole organism decreased mobility	sqstm1
	ch25hl3
	HTRA2
intersegmental vessel decreased distribution	prok2
intersegmental vessel decreased length	prok2
intersegmental vessel morphology	prok2
intersegmental vessel spatial pattern	prok2
locomotory behavior occurrence	prok2
sleep occurrence	prok2
sprouting angiogenesis decreased occurrence	prok2
subintestinal vein decreased amount	prok2
subintestinal vein decreased length	prok2
subintestinal vein morphology	prok2
trunk decreased amount	prok2
vasculature decreased distribution	prok2
vasculature spatial pattern	prok2
	mrm2
	mrps28
Meckel's cartilage absent	chd7
Melanin part_of whole organism decreased amount	chd7
T cell migration decreased process quality	chd7
T cell part_of thymus decreased amount	chd7
aggressive behavior increased occurrence	chd7
anterior-posterior axis part_of trunk curved	chd7
anterior-posterior axis part_of whole organism curved	chd7
anterior-posterior axis part_of whole organism kinked	chd7
aortic arch 3 asymmetrical	chd7
aortic arch 3 branched	chd7
aortic arch 3 decreased diameter	chd7
aortic arch 3 displaced to	chd7
aortic arch 3 morphology	chd7
apoptotic process occurs_in thymus increased process quality	chd7
atrium orientation	chd7
axon part_of facial ganglion decreased amount	chd7
axon part_of facial ganglion decreased length	chd7
axon part_of trigeminal ganglion decreased amount	chd7
axon part_of trigeminal ganglion decreased length	chd7
axonogenesis disrupted	chd7
basihyal cartilage decreased width	chd7
basihyal cartilage morphology	chd7
behavior occurrence	chd7
blood circulation disrupted	chd7
bone mineralization process quality	chd7
brain decreased amount	chd7
brain increased amount	chd7
brain morphology	chd7
branching involved in blood vessel morphogenesis disrupted	chd7
bulbus arteriosus decreased width	chd7
bulbus arteriosus elongated	chd7
bulbus arteriosus shape	chd7
caudal fin morphology	chd7
caudal hematopoietic tissue increased amount	chd7
cell population proliferation decreased occurrence	chd7
cell population proliferation occurs_in pharynx decreased process quality	chd7
cell population proliferation occurs_in thymus decreased process quality	chd7
ceratobranchial 1 cartilage decreased length	chd7
ceratobranchial 2 cartilage decreased length	chd7
ceratobranchial 3 cartilage decreased length	chd7
ceratobranchial 4 cartilage decreased length	chd7
ceratobranchial 4 cartilage shape	chd7
ceratobranchial 5 cartilage decreased length	chd7
ceratobranchial 5 tooth decreased amount	chd7
ceratobranchial cartilage absent	chd7
ceratohyal cartilage absent	chd7
ceratohyal cartilage malformed	chd7
chondrocyte part_of ceratobranchial cartilage disorganized	chd7
chondrocyte part_of pharyngeal arch absent	chd7
ciliary marginal zone decreased amount	chd7
cone photoreceptor outer segment part_of retinal cone cell decreased length	chd7
cranial cartilage malformed	chd7
cranial cartilage morphology	chd7
cranial motor neuron decreased amount	chd7
cranial neural crest cell decreased amount	chd7
cranial neural crest cell part_of hindbrain distributed	chd7
cranial neural crest cell part_of hindbrain mislocalised	chd7
cranial neural crest disorganized	chd7
cranial neural crest has fewer parts of type	chd7
cranium morphology	chd7
determination of left/right symmetry disrupted	chd7
embryonic cranial skeleton morphogenesis disrupted	chd7
enteric neuron decreased amount	chd7
eye photoreceptor cell absent	chd7
eye decreased diameter	chd7
eye decreased size	chd7
eye morphology	chd7
facial ganglion hypoplastic	chd7
facial nerve motor nucleus has fewer parts of type	chd7
glial cell (sensu Vertebrata) part_of brain decreased amount	chd7
glial cell (sensu Vertebrata) part_of cranium absent	chd7
glial cell (sensu Vertebrata) part_of lateral line increased amount	chd7
glial cell (sensu Vertebrata) part_of lateral line morphology	chd7
glial cell decreased amount	chd7
glial cell part_of cranium absent	chd7
glial cell part_of lateral line decreased amount	chd7
head decreased size	chd7
head flattened	chd7
heart contraction decreased process quality	chd7
heart looping disrupted	chd7
heart looping process quality	chd7
heart edematous	chd7
heart increased size	chd7
heart morphology	chd7
heart tubular	chd7
hemal spine decreased size	chd7
hematopoietic stem cell part_of caudal hematopoietic tissue increased amount	chd7
hematopoietic stem cell part_of ventral wall of dorsal aorta increased amount	chd7
inner ear has fewer parts of type	chd7
inner ear morphology	chd7
intersegmental vessel irregular spatial pattern	chd7
intestinal motility disrupted	chd7
intestine decreased length	chd7
iridophore part_of eye absent	chd7
iridophore part_of trunk absent	chd7
lapillus decreased amount	chd7
lapillus decreased size	chd7
lymphoid progenitor cell part_of caudal hematopoietic tissue increased amount	chd7
lymphoid progenitor cell part_of thymus primordium decreased amount	chd7
macrophage part_of caudal hematopoietic tissue increased amount	chd7
mandibular arch skeleton decreased size	chd7
melanoblast part_of head increased amount	chd7
melanoblast part_of neural crest increased amount	chd7
melanocyte decreased amount	chd7
melanocyte part_of whole organism shape	chd7
melanocyte spatial pattern	chd7
microvillous olfactory receptor neuron decreased amount	chd7
microvillous olfactory receptor neuron disorganized	chd7
migratory neural crest cell part_of hindbrain mislocalised	chd7
